neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Battery Park City,40.7068,-74.01775,Private room,1,1,1.0,7,339,100
Manhattan,Roosevelt Island,40.77,-73.94285,Entire home/apt,1,0,0.0,1,0,150
Brooklyn,Bedford-Stuyvesant,40.68215,-73.93644,Entire home/apt,4,4,0.31,1,9,95
Manhattan,Chelsea,40.74651,-74.00563000000001,Entire home/apt,30,1,0.04,87,340,219
Brooklyn,Bay Ridge,40.6339,-74.02035,Private room,4,72,0.81,2,343,49
Brooklyn,Bedford-Stuyvesant,40.695159999999994,-73.93462,Entire home/apt,3,2,0.17,1,0,125
Brooklyn,Clinton Hill,40.6819,-73.96007,Entire home/apt,2,16,2.18,1,78,250
Manhattan,Chelsea,40.745870000000004,-73.99889,Entire home/apt,3,2,0.11,1,206,229
Manhattan,Upper West Side,40.7715,-73.9877,Entire home/apt,3,0,0.0,1,58,240
Brooklyn,Flatbush,40.65202,-73.96325,Private room,3,14,0.46,2,0,95
Manhattan,East Village,40.723279999999995,-73.98926,Entire home/apt,1,299,5.04,2,232,260
Brooklyn,Bay Ridge,40.63456,-74.02483000000001,Private room,1,33,0.84,1,337,35
Brooklyn,Dyker Heights,40.62547,-74.00647,Entire home/apt,1,50,2.48,2,287,90
Brooklyn,Dyker Heights,40.6185,-74.00679000000001,Private room,7,5,0.79,1,149,150
Manhattan,Midtown,40.74808,-73.9834,Private room,1,0,0.0,3,68,145
Queens,Forest Hills,40.71322,-73.83493,Entire home/apt,4,11,0.31,1,15,100
Manhattan,East Village,40.72948,-73.98855999999999,Entire home/apt,5,107,2.84,1,12,149
Manhattan,East Village,40.72206,-73.97981999999999,Private room,1,0,0.0,1,0,80
Manhattan,Hell's Kitchen,40.76011,-73.99087,Entire home/apt,3,23,3.5,2,207,299
Manhattan,Kips Bay,40.740559999999995,-73.98389,Private room,15,0,0.0,1,0,70
Manhattan,Hell's Kitchen,40.76793,-73.98817,Private room,7,1,0.02,1,0,79
